Element,Stream-salt water,HXutility-H1,Stream-salt water,Mix tank-M1,Mix tank-M1,Pump-P1,System,System,Simple TEA,Simple TEA
Variable,Salt flow rate [kg/hr],Heat exchanger temperature [K],Salt solution price [USD/kg],Mix tank retention time [hr],Mix tank mixer power usage [kW/m3],Pump design head [kPa],Total heating duty [kJ/yr],Total electricity consumption [kWh/yr],Total capital expenditure [USD],Net present value [USD]
0,50.581094828816184,353.74715419893954,1.1664976925578738,0.9363095512831808,0.11132250749555918,423904.69624491275,3963628641.2345624,10552.769418816662,62669.284128258296,-162057022.81699157
1,50.839572882735396,362.8122012855591,0.9375721391296823,0.9903248297631371,0.11650572241057568,395088.32950211293,4802670368.138843,10356.006778540319,61926.32774174672,-130358844.35067323
2,49.60041436738984,365.17531233865355,-0.094137178468399,1.006883496789388,0.10134856039746348,401678.20903605723,5319683563.227553,10079.280156814062,62359.35574200413,12731083.377277754
3,46.72630840195452,393.7182216247222,0.17376520022945743,0.9759339327679112,0.10590636507497427,359989.0165912173,7641109359.226659,9386.84382096278,62532.29089365108,-24486656.17175045
4,52.43094382874544,337.4497905563781,0.3686686823464241,0.9248415613175306,0.08293970379649654,379072.15349934227,2492150277.0071692,8966.779748711659,59651.75802618821,-51365724.417379074
5,48.594728366104675,347.4411775054892,0.3066848790259867,1.0686692015070005,0.09032066513126039,329247.7874083916,3822668920.5878334,8614.977832521156,62975.232161742446,-42746896.38248357
6,47.238414271538325,343.2887922189869,-0.4874668774026221,0.9117758491420357,0.08364035805001296,404654.8590527846,4300232538.857383,9349.58253626205,59753.972220368334,67235654.55929862
7,53.97448850751153,324.0513288965268,1.2322871774051696,0.9720170777850203,0.10930187065391754,409947.57218200807,1783791093.830766,10332.90919590849,60238.44564933727,-171359612.4090591
8,45.7035409126201,350.2311992347702,1.0560737809121028,1.0130876668773696,0.09092309753398681,485452.5486561426,3688918601.3573847,11274.237331122422,64221.79561673881,-146381102.78504857
9,52.829097368676884,385.99322215725874,-0.3625632225222683,1.0293423509365263,0.10524088164245571,465070.7641892525,8140337259.988876,11355.28476329373,65690.94227781384,49887293.66351085
10,52.14356823276818,392.1075937871077,-0.1550052332203316,1.0521992761032655,0.0873504028647636,443491.10676636477,7559315497.827133,10567.472415378254,66377.03042767278,21086233.859532215
11,52.05984791515413,383.57754729095996,-0.7605399584940616,0.9167247998331596,0.0812210086894187,373446.16306627705,7086247661.583031,8799.193281102742,60992.017450084764,105166190.31531589
12,49.88599728368943,327.84461196063785,-1.246206341582487,0.9497396933402453,0.08577675405625891,420070.86275062745,1185152409.3584046,9848.004089929806,59562.77379379545,172676408.8420139
13,45.29579736594939,366.47908093522915,0.2808442179479626,1.0126438133903035,0.08214457824319708,381786.5720771988,5113282795.550063,9191.547005219825,62463.34954258562,-39164324.81508468
14,54.20829198949911,300.29400490152545,0.35556741101714295,1.0535943817164344,0.10841244517517395,339150.6874683117,0.0,9340.857710329807,63481.51467774474,-49534611.11930836
15,49.790444705273785,386.1317657357859,-0.7920303121534343,0.9326368252330108,0.107671463203448,449925.5076198318,7325117627.954971,10900.159268810654,63635.477693154615,109400453.84039931
16,51.4056219527605,341.41388407087226,0.09306549011067,1.0371354224571976,0.081636436099219,352563.9712323533,3367672015.187356,8696.25215736663,62172.031598638285,-13140678.412566097
