Unit,Category,Abstract,API page
ADMtoASM,QSDsan dynamic,Yes,:class:`dynamic/junction/ADMtoASM <qsdsan.unit_operations.dynamic._junction.ADMtoASM>`
AnMBR (anaerobic membrane bioreactor),QSDsan dynamic,No,:class:`dynamic/membrane_bioreactor/AnMBR <qsdsan.unit_operations.dynamic._membrane_bioreactor.AnMBR>`
ActivatedSludgeProcess,QSDsan static,No,:class:`static/ActivatedSludgeProcess <qsdsan.unit_operations.static._activated_sludge_process.ActivatedSludgeProcess>`
AerobicDigester,QSDsan dynamic,No,:class:`dynamic/suspended_growth_bioreactor/AerobicDigester <qsdsan.unit_operations.dynamic._bioreactor.AerobicDigester>`
AnaerobicBaffledReactor,QSDsan static,No,:class:`static/anaerobic_reactor/AnaerobicBaffledReactor <qsdsan.unit_operations.static._anaerobic_reactor.AnaerobicBaffledReactor>`
AnaerobicCSTR,QSDsan dynamic,No,:class:`dynamic/anaerobic_reactor/AnaerobicCSTR <qsdsan.unit_operations.dynamic._anaerobic_reactor.AnaerobicCSTR>`
AnaerobicDigestion,QSDsan static,No,:class:`static/anaerobic_reactor/AnaerobicDigestion <qsdsan.unit_operations.static._anaerobic_reactor.AnaerobicDigestion>`
ASMtoADM,QSDsan dynamic,Yes,:class:`dynamic/junction/ASMtoADM <qsdsan.unit_operations.dynamic._junction.ASMtoADM>`
BatchExperiment,QSDsan dynamic,Yes,:class:`dynamic/suspended_growth_bioreactor/BatchExperiment <qsdsan.unit_operations.dynamic._bioreactor.BatchExperiment>`
BeltThickener,QSDsan static,No,:class:`static/sludge_thickening/BeltThickener <qsdsan.unit_operations.static._sludge_thickening.BeltThickener>`
BinaryDistillation,BST,No,:class:`bst/distillation/BinaryDistillation <qsdsan.unit_operations.bst._distillation.BinaryDistillation>`
BiogasCombustion,QSDsan static,Yes,:class:`static/combustion/BiogasCombustion <qsdsan.unit_operations.static._combustion.BiogasCombustion>`
CatalyticHydrothermalGasification,QSDsan static,No,:class:`static/hydrothermal/CatalyticHydrothermalGasification <qsdsan.unit_operations.static._hydrothermal.CatalyticHydrothermalGasification>`
CombinedHeatPower,QSDsan static,No,:class:`static/combustion/CombinedHeatPower <qsdsan.unit_operations.static._combustion.CombinedHeatPower>`
CSTR (continuously stirred tank reactor),QSDsan dynamic,No,:class:`dynamic/suspended_growth_bioreactor/CSTR <qsdsan.unit_operations.dynamic._bioreactor.CSTR>`
CompletelyMixedMBR,QSDsan dynamic,No,:class:`dynamic/membrane_bioreactor/CompletelyMixedMBR <qsdsan.unit_operations.dynamic._membrane_bioreactor.CompletelyMixedMBR>`
ComponentSplitter,QSDsan static,Yes,:class:`static/abstract/ComponentSplitter <qsdsan.unit_operations.static._abstract.ComponentSplitter>`
Copier,QSDsan static,Yes,:class:`static/non_reactive/Copier <qsdsan.unit_operations.static._non_reactive.Copier>`
CropApplication,QSDsan static,Yes,:class:`static/CropApplication <qsdsan.unit_operations.static._crop_application.CropApplication>`
DryingBed,QSDsan static,No,:class:`static/treatment_bed/DryingBed <qsdsan.unit_operations.static._treatment_bed.DryingBed>`
DynamicInfluent,QSDsan dynamic,Yes,:class:`dynamic/DynamicInfluent <qsdsan.unit_operations.dynamic._influent.DynamicInfluent>`
ElectrochemicalCell,QSDsan static,No,:class:`static/ElectrochemicalCell <qsdsan.unit_operations.static._electrochemical_cell.ElectrochemicalCell>`
Excretion,QSDsan static,No,:class:`static/Excretion <qsdsan.unit_operations.static._excretion.Excretion>`
FakeSplitter,BST,Yes,:class:`bst/abstract/FakeSplitter <qsdsan.unit_operations.bst._abstract.FakeSplitter>`
Flash,BST,No,:class:`bst/Flash <qsdsan.unit_operations.bst._flash.Flash>`
FlatBottomCircularClarifier,QSDsan dynamic,No,:class:`static/clarifier/FlatBottomCircularClarifier <qsdsan.unit_operations.static._clarifier.FlatBottomCircularClarifier>`
HeatExchangerNetwork,BST,No,:class:`bst/heat_exchanging/HeatExchangerNetwork <qsdsan.unit_operations.bst._heat_exchanging.HeatExchangerNetwork>`
HXprocess,BST,No,:class:`bst/heat_exchanging/HXprocess <qsdsan.unit_operations.bst._heat_exchanging.HXprocess>`
HXutility,BST,No,:class:`bst/heat_exchanging/HXutility <qsdsan.unit_operations.bst._heat_exchanging.HXutility>`
HydraulicDelay,QSDsan dynamic,Yes,:class:`dynamic/pumping/HydraulicDelay <qsdsan.unit_operations.dynamic._pumping.HydraulicDelay>`
Hydrocracking,QSDsan static,No,:class:`static/hydroprocessing/Hydrocracking <qsdsan.unit_operations.static._hydroprocessing.Hydrocracking>`
HydrothermalLiquefaction,QSDsan static,No,:class:`static/hydrothermal/HydrothermalLiquefaction <qsdsan.unit_operations.static._hydrothermal.HydrothermalLiquefaction>`
Hydrotreating,QSDsan static,No,:class:`static/hydroprocessing/Hydrotreating <qsdsan.unit_operations.static._hydroprocessing.Hydrotreating>`
IdealClarifier,QSDsan static,No,:class:`static/clarifier/IdealClarifier <qsdsan.unit_operations.static._clarifier.IdealClarifier>`
IsothermalCompressor,BST,No,:class:`bst/compressor/IsothermalCompressor <qsdsan.unit_operations.bst._compressor.IsothermalCompressor>`
Junction,QSDsan dynamic,Yes,:class:`dynamic/junction/Junction <qsdsan.unit_operations.dynamic._junction.Junction>`
InternalCirculationRx,QSDsan static,No,:class:`static/InternalCirculationRx <qsdsan.unit_operations.InternalCirculationRx>`
Lagoon,QSDsan static,No,:class:`static/Lagoon <qsdsan.unit_operations.static._lagoon.Lagoon>`
LiquidTreatmentBed,QSDsan static,No,:class:`static/treatment_bed/LiquidTreatmentBed <qsdsan.unit_operations.static._treatment_bed.LiquidTreatmentBed>`
LumpedCost,QSDsan static,No,:class:`static/non_reactive/LumpedCost <qsdsan.unit_operations.static._non_reactive.LumpedCost>`
MembraneDistillation,QSDsan static,No,:class:`static/MembraneDistillation <qsdsan.unit_operations.static._membrane_distillation.MembraneDistillation>`
MembraneGasExtraction,QSDsan static,No,:class:`static/MembraneGasExtraction <qsdsan.unit_operations.static._membrane_gas_extraction.MembraneGasExtraction>`
MixTank,BST,No,:class:`bst/tank/MixTank <qsdsan.unit_operations.bst._tank.MixTank>`
Mixer,BST,Yes,:class:`bst/abstract/Mixer <qsdsan.unit_operations.bst._abstract.Mixer>`
MURT (multi-unit reinvented toilet),QSDsan static,No,:class:`static/toilet/MURT <qsdsan.unit_operations.static._toilet.MURT>`
PFR (plug flow reactor),QSDsan dynamic,No,:class:`dynamic/suspended_growth_bioreactor/PFR <qsdsan.unit_operations.dynamic._bioreactor.PFR>`
PhaseChanger,QSDsan static,Yes,:class:`static/abstract/PhaseChanger <qsdsan.unit_operations.static._abstract.PhaseChanger>`
PitLatrine,QSDsan static,No,:class:`static/toilet/PitLatrine <qsdsan.unit_operations.static._toilet.PitLatrine>`
PolishingFilter,QSDsan static,No,:class:`static/PolishingFilter <qsdsan.unit_operations.static._polishing_filter.PolishingFilter>`
