Reporter Countries,Partner Countries,Item,Value
Albania,Bosnia and Herzegovina,"Peas, green",0.29
Albania,Czechia,"Peas, green",0.78
Albania,Denmark,"Peas, green",4.37
Algeria,Belgium,Wheat and meslin flour,0
Algeria,Canada,"Peas, green",12.5
Angola,Belgium,Soya bean oil,0.1
Angola,Canada,Wheat,0
Angola,Canada,Wheat and meslin flour,0
Angola,Congo,Maize (corn),15.04
Angola,Congo,Soya bean oil,2
Angola,Congo,Wheat and meslin flour,13.9
Angola,Cuba,Maize (corn),0.02
Angola,Cuba,Rice,0.01
Angola,Cuba,Soya bean oil,0.04
Angola,Cuba,Wheat and meslin flour,0.09
Angola,Democratic Republic of the Congo,Maize (corn),10.11
Angola,Democratic Republic of the Congo,Rice,0.2
Angola,Democratic Republic of the Congo,Sorghum,0.03
Angola,Democratic Republic of the Congo,Soya bean oil,2.37
Angola,Democratic Republic of the Congo,Wheat,0.18
Angola,Democratic Republic of the Congo,Wheat and meslin flour,7601.59
Argentina,Albania,Maize (corn),203.8
Argentina,Algeria,Maize (corn),2769960
Argentina,Algeria,Soya bean oil,65360
Argentina,Algeria,Wheat,735006
Argentina,Angola,Maize (corn),108422
Argentina,Bahrain,Maize (corn),234
Argentina,Bangladesh,Soya bean oil,355772
Argentina,Belgium,Maize (corn),596.07
Argentina,Benin,Maize (corn),3114.36
Argentina,Bolivia (Plurinational State of),Maize (corn),2914
Argentina,Bolivia (Plurinational State of),Sorghum,264.05
Argentina,Bolivia (Plurinational State of),Wheat and meslin flour,143624
Argentina,Bosnia and Herzegovina,Maize (corn),463
Argentina,Brazil,Maize (corn),196794.59
Argentina,Brazil,Sorghum,46.77
Argentina,Brazil,Wheat,4358450
Argentina,Brazil,Wheat and meslin flour,259340.3
Argentina,Bulgaria,Maize (corn),2060.62
Argentina,Cameroon,Maize (corn),10988.4
Argentina,Cameroon,Wheat,167743
Argentina,Canada,Maize (corn),70
Argentina,Chile,Maize (corn),1633543.53
Argentina,Chile,Soya bean oil,144756.64
Argentina,Chile,Wheat,649515.09
Argentina,Chile,Wheat and meslin flour,35684.9
Argentina,"China, mainland",Sorghum,1688020
Argentina,"China, mainland",Soya bean oil,130700
Argentina,"China, Taiwan Province of",Maize (corn),1370400
Argentina,Colombia,Maize (corn),960706
Argentina,Colombia,Soya bean oil,34859
Argentina,Colombia,Wheat,250665
Argentina,Congo,Maize (corn),40375.8
Argentina,Congo,Wheat,153345
Argentina,Costa Rica,Maize (corn),403.19
Argentina,Côte d'Ivoire,Maize (corn),52621.9
Argentina,Côte d'Ivoire,Wheat,178791
Argentina,Croatia,Maize (corn),598
Argentina,Cuba,Maize (corn),291122
Argentina,Cuba,Soya bean oil,5699.05
Argentina,Cuba,Wheat and meslin flour,1329.37
Argentina,Cyprus,Maize (corn),258.3
Argentina,Democratic Republic of the Congo,Maize (corn),29125.6
Argentina,Democratic Republic of the Congo,Wheat,42147.4
Argentina,Denmark,Maize (corn),3417.58
Argentina,Djibouti,Maize (corn),2588
Argentina,Dominican Republic,Maize (corn),119040
Argentina,Dominican Republic,Soya bean oil,137738.47
Argentina,Dominican Republic,Wheat,56547
Armenia,Belgium,Wheat and meslin flour,9.54
Australia,Algeria,Wheat,52147.7
Australia,Argentina,Rice,100
Australia,Argentina,Sorghum,0.18
Australia,Bahrain,Wheat,103944.2
Australia,Bangladesh,Maize (corn),1.5
Australia,Bangladesh,Sorghum,5
Australia,Bangladesh,Wheat,307385.61
Australia,Belgium,Wheat and meslin flour,35
Australia,Brazil,Sorghum,2.61
Australia,Brunei Darussalam,Maize (corn),1.3
Australia,Brunei Darussalam,Wheat and meslin flour,0.13
Australia,Burundi,Wheat,5900
Australia,Cambodia,Sorghum,1
Australia,Cambodia,Soya bean oil,0.17
Australia,"China, Hong Kong SAR",Maize (corn),60.86
Australia,"China, Hong Kong SAR","Peas, green",0.01
Australia,"China, Hong Kong SAR",Rice,3.28
Australia,"China, Hong Kong SAR",Wheat,2529.04
Australia,"China, Hong Kong SAR",Wheat and meslin flour,437.11
Australia,"China, mainland",Maize (corn),2.35
Australia,"China, mainland",Rice,1.32
Australia,"China, mainland",Sorghum,1889031.2
Australia,"China, mainland",Soya bean oil,2.32
Australia,"China, mainland",Wheat,6197156.74
Australia,"China, mainland",Wheat and meslin flour,2440.78
Australia,"China, Taiwan Province of",Maize (corn),1380.77
Australia,"China, Taiwan Province of",Sorghum,36672.27
Australia,"China, Taiwan Province of",Wheat,403097.71
Australia,"China, Taiwan Province of",Wheat and meslin flour,109.41
Australia,Cook Islands,Maize (corn),0.05
Australia,Cook Islands,Wheat and meslin flour,0.9
Austria,Albania,Wheat,23.01
Austria,Albania,Wheat and meslin flour,5.1
Austria,Algeria,Wheat,0
Austria,Armenia,Wheat and meslin flour,0.14
Austria,Australia,Soya bean oil,67.46
Austria,Azerbaijan,Maize (corn),125.1
Austria,Azerbaijan,Wheat,4.04
Austria,Azerbaijan,Wheat and meslin flour,0.17
Austria,Belarus,Maize (corn),319.51
Austria,Belarus,Wheat,34.12
Austria,Belgium,Maize (corn),452.64
Austria,Belgium,Rice,1.21
Austria,Belgium,Sorghum,0.01
Austria,Belgium,Soya bean oil,23.94
Austria,Belgium,Wheat,2499.46
Austria,Belgium,Wheat and meslin flour,8.75
Austria,Bosnia and Herzegovina,Wheat,1.02
Austria,Bosnia and Herzegovina,Wheat and meslin flour,205.36
Austria,Bulgaria,Maize (corn),488.28
Austria,Bulgaria,"Peas, green",0
Austria,Bulgaria,Soya bean oil,0.02
Austria,Bulgaria,Wheat,15560.47
Austria,Bulgaria,Wheat and meslin flour,187.05
Austria,Canada,Maize (corn),10.51
Austria,Canada,Soya bean oil,0.1
Austria,Canada,Wheat,3.54
Austria,Chile,Maize (corn),2.18
Austria,"China, Hong Kong SAR",Wheat and meslin flour,7.66
Austria,"China, mainland",Maize (corn),0.26
Austria,"China, mainland",Wheat and meslin flour,0.19
Austria,"China, Taiwan Province of",Wheat and meslin flour,0.31
Austria,Croatia,Maize (corn),3306.14
Austria,Croatia,Soya bean oil,0.01
Austria,Croatia,Wheat,2376.3
Austria,Croatia,Wheat and meslin flour,9395
Austria,Cyprus,Wheat,0
Austria,Cyprus,Wheat and meslin flour,5.51
Austria,Czechia,Maize (corn),997.1
Austria,Czechia,"Peas, green",0.09
Austria,Czechia,Sorghum,2.73
Austria,Czechia,Soya bean oil,356.58
Austria,Czechia,Wheat,2466.11
Austria,Czechia,Wheat and meslin flour,22649.7
Austria,Democratic Republic of the Congo,Wheat and meslin flour,0
Austria,Denmark,Maize (corn),200.76
Austria,Denmark,Wheat,114.9
Austria,Denmark,Wheat and meslin flour,0.05
Bangladesh,Bahrain,"Peas, green",0.05
Bangladesh,"China, Hong Kong SAR",Wheat and meslin flour,9.78
