ID	description	formula	particle_size	degradability	organic	measured_as	i_C	i_N	i_P	i_K	i_Mg	i_Ca	i_mass	i_charge	i_COD	i_NOD	f_BOD5_COD	f_uBOD_COD	f_Vmass_Totmass	CAS	PubChem
S_H2	Dissolved dihydrogen gas	H2	Dissolved gas	Readily	FALSE	COD	0	0	0	0	0	0	0.125	0			0	0	1	1333-74-0	783
S_CH4	Dissolved Methane	CH4	Dissolved gas	Readily	TRUE	COD	0.186997444	0	0	0	0	0	0.25	0			0	0	1	74-82-8	297
S_CH3OH	Methanol	CH3OH	Soluble	Readily	TRUE	COD	0.249672305	0	0	0	0	0	0.666666667	0			0.717	0.862804	1	67-56-1	887
S_Ac	Acetate	CH3COO(-)	Soluble	Readily	TRUE	COD	0.375	0	0	0	0	0	0.9225	-0.015625			0.717	0.862804	1	64-19-7	176
S_Prop	Propionate	C2H5COO-	Soluble	Readily	TRUE	COD	0.321428571	0	0	0	0	0	0.652410714	-0.008928571			0.717	0.862804	1	79-09-3	1032
S_F	Fermentable soluble organic matters		Soluble	Readily	TRUE	COD	0.32	0.03	0.01	0	0	0	0.502512563	0			0.717	0.862804	1		
S_U_Inf	Undegradable soluble compound originating from the influent		Soluble	Undegradable	TRUE	COD	0.32	0.05	0.01	0	0	0	0.5	0			0	0	1		
S_U_E	Endogenous undegradable soluble product		Soluble	Undegradable	TRUE	COD	0.32	0.05	0.01	0	0	0	0.5	0			0	0	1		
C_B_Subst	"Biodegradable colloidal substrate, assumed to be extracellular polymeric substances"		Colloidal	Slowly	TRUE	COD	0.32	0	0	0	0	0	0.793367347	0			0.717	0.862804	1		
C_B_BAP	"Biomass-associated colloidal products, associated with biomass decay, assumed to be the hydrolysis products of extracellular polymeric substance"		Colloidal	Slowly	TRUE	COD	0.32	0	0	0	0	0	0.793367347	0			0.717	0.862804	1		
C_B_UAP	"Utilization-associated colloidal products, associated with substrate metabolism and biomass growth, assumed to be"		Colloidal	Slowly	TRUE	COD	0.32	0	0	0	0	0	0.793367347	0			0.717	0.862804	1		
C_U_Inf	Undegradable colloidal compound originating from the influent		Colloidal	Undegradable	TRUE	COD	0.32	0	0.01	0	0	0	0.75	0			0	0	1		
X_B_Subst	Biodegradable particulate substrate		Particulate	Slowly	TRUE	COD	0.32	0.04	0.01	0	0	0	0.555555556	0			0.58	0.862804	1		
