	S_su	S_aa	S_fa	S_va	S_bu	S_pro	S_ac	S_h2	S_ch4	S_IC	S_IN	S_I	X_c	X_ch	X_pr	X_li	X_su	X_aa	X_fa	X_c4	X_pro	X_ac	X_h2	X_I
disintegration										?	?	f_sI_xc	-1	f_ch_xc	f_pr_xc	f_li_xc								f_xI_xc
hydrolysis_carbs	1									?	?			-1										
hydrolysis_proteins		1								?	?				-1									
hydrolysis_lipids	1-f_fa_li		f_fa_li							?	?					-1								
uptake_sugars	-1				(1-Y_su)*f_bu_su	(1-Y_su)*f_pro_su	(1-Y_su)*f_ac_su	(1-Y_su)*f_h2_su		?	?						Y_su							
uptake_amino_acids		-1		(1-Y_aa)*f_va_aa	(1-Y_aa)*f_bu_aa	(1-Y_aa)*f_pro_aa	(1-Y_aa)*f_ac_aa	(1-Y_aa)*f_h2_aa		?	?							Y_aa						
uptake_LCFA			-1				(1-Y_fa)*f_ac_fa	(1-Y_fa)*f_h2_fa		?	?								Y_fa					
uptake_valerate				-1		(1-Y_c4)*f_pro_va	(1-Y_c4)*f_ac_va	(1-Y_c4)*f_h2_va		?	?									Y_c4				
uptake_butyrate					-1		(1-Y_c4)*f_ac_bu	(1-Y_c4)*f_h2_bu		?	?									Y_c4				
uptake_propionate						-1	(1-Y_pro)*f_ac_pro	(1-Y_pro)*f_h2_pro		?	?										Y_pro			
uptake_acetate							-1		1-Y_ac	?	?											Y_ac		
uptake_h2								-1	1-Y_h2	?	?												Y_h2	
decay_Xsu										?	?		1				-1							
decay_Xaa										?	?		1					-1						
decay_Xfa										?	?		1						-1					
decay_Xc4										?	?		1							-1				
decay_Xpro										?	?		1								-1			
decay_Xac										?	?		1									-1		
decay_Xh2										?	?		1										-1	
