parameter,name (if diff),unit,expected,low,high,distribution,Criteria,reference
tss_removal,,,0.926083333,0.85,0.989,triangular,4.2,https://nepis.epa.gov/Exe/ZyNET.exe/300045WA.txt?ZyActionD=ZyDocument&Client=EPA&Index=1986%20Thru%201990&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&UseQField=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5CZYFILES%5CINDEX%20DATA%5C86THRU90%5CTXT%5C00000001%5C300045WA.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=3#
sludge_moisture,,,0.821666667,0.78,0.87,triangular,4.2,https://nepis.epa.gov/Exe/ZyNET.exe/300045WA.txt?ZyActionD=ZyDocument&Client=EPA&Index=1986%20Thru%201990&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&UseQField=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5CZYFILES%5CINDEX%20DATA%5C86THRU90%5CTXT%5C00000001%5C300045WA.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=3#     https://www.epa.gov/sites/default/files/2018-11/documents/centrifuge-thickening-dewatering-factsheet.pdf
polymer_dose,,kg/kg ds,0.005407137,0.002249998,0.114999873,triangular,4.2,https://nepis.epa.gov/Exe/ZyNET.exe/300045WA.txt?ZyActionD=ZyDocument&Client=EPA&Index=1986%20Thru%201990&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&UseQField=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5CZYFILES%5CINDEX%20DATA%5C86THRU90%5CTXT%5C00000001%5C300045WA.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=3#     https://www.epa.gov/sites/default/files/2018-11/documents/centrifuge-thickening-dewatering-factsheet.pdf
disposal_cost,,$ / dry ton,450,100,800,uniform,2,https://pubs.acs.org/doi/10.1021/acs.est.5b01931
kW_per_m3_per_hr,,kWh/(m3/min),85.74274083,52.83443537,113.594036,triangular,4.2,https://nepis.epa.gov/Exe/ZyNET.exe/300045WA.txt?ZyActionD=ZyDocument&Client=EPA&Index=1986%20Thru%201990&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&UseQField=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5CZYFILES%5CINDEX%20DATA%5C86THRU90%5CTXT%5C00000001%5C300045WA.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=3#     https://www.epa.gov/sites/default/files/2018-11/documents/centrifuge-thickening-dewatering-factsheet.pdf
operating_hours,,hr/yr,5127.855263,1638,6440,triangular,4.2,https://nepis.epa.gov/Exe/ZyNET.exe/300045WA.txt?ZyActionD=ZyDocument&Client=EPA&Index=1986%20Thru%201990&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&UseQField=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5CZYFILES%5CINDEX%20DATA%5C86THRU90%5CTXT%5C00000001%5C300045WA.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=3#
labor_hour,,man_hour_per_operation_hour,1.088,0.8704,1.3056,uniform,4.3,https://nepis.epa.gov/Exe/ZyNET.exe/300045WA.txt?ZyActionD=ZyDocument&Client=EPA&Index=1986%20Thru%201990&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&UseQField=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5CZYFILES%5CINDEX%20DATA%5C86THRU90%5CTXT%5C00000001%5C300045WA.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=3#     https://www.epa.gov/sites/default/files/2018-11/documents/centrifuge-thickening-dewatering-factsheet.pdf
auger_conveyer_cost,,,0.0035,0.002,0.005,uniform,,"assumed from available retail prices online, see 'Unit Capital Costs' tab"
material_repair_and_replacement_cost,,,0.035,0.03,0.04,uniform,4.3,assumed from CapdetWorks
conveyer_power,,HP/gpm,30.08,0.16,60,uniform,2,https://www.screwconveyorparts.com/catalogs/9063-2/
centrifuge_power,,hp/gpm,1,0.5,2,triangular,4.3,CapdetWorks
wages,,$/hr,34.1,23.87,44.33,Triangular,https://rshiny.ilo.org/dataexplorer45/?lang=en&segment=indicator&id=SDG_0851_SEX_OCU_NB_A,
wall_thickness,,m,0.009906,0.0069342,0.0128778,uniform,3,assumption from retailer information: https://www.aaronequipment.com/manufacturer/us-filter/centrifuges
bowl_diameter,,m,0.88,0.6,1.4,triangular,4.2,https://nepis.epa.gov/Exe/ZyNET.exe/300045WA.txt?ZyActionD=ZyDocument&Client=EPA&Index=1986%20Thru%201990&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&UseQField=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5CZYFILES%5CINDEX%20DATA%5C86THRU90%5CTXT%5C00000001%5C300045WA.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=3#
bowl_length,,m,2.914,2.3,4.3,triangular,4.2,https://nepis.epa.gov/Exe/ZyNET.exe/300045WA.txt?ZyActionD=ZyDocument&Client=EPA&Index=1986%20Thru%201990&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&UseQField=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5CZYFILES%5CINDEX%20DATA%5C86THRU90%5CTXT%5C00000001%5C300045WA.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=3#
