parameter,name (if diff),unit,expected,low,high,distribution,
c3_slope,,,8.962448276,7.169958621,10.75493793,normal,
c4_slope,,,16.04017241,12.83213793,19.24820689,normal,
c6_slope,,,14.21462069,11.37169655,17.05754483,normal,
c3_const,,,18.42335172,14.73868138,22.10802206,normal,
c4_const,,,9.341747586,7.473398069,11.2100971,normal,
c6_const,,,5.31705931,4.253647448,6.380471172,normal,
e_slope,,,0.217159,0.1737272,0.2605908,normal,
ti_thickness,,mm,1.5,1.2,1.8,uniform,
spacer_thickness,,mm,3.25,0.5,6,uniform,
active_area_ratio,,,0.64,0.512,0.768,uniform,
carbon_cloth_thickness,,mm,0.26,0.19,0.33,uniform,
rc_thickness,,cm,0.2,0.16,0.24,uniform,
acrylic_thickness,,cm,1,0.8,1.2,uniform,
material_repair_and_replacement_cost,,,0.03,0.02,0.04,uniform,
rc_conc,,M,0.075,0.05,0.1,uniform,
rc_replacement,,,0.5,0,1,uniform,
rc_cost,,$/kg,4,2,6,uniform,
iem_cost,,$/m2,135,108,162,uniform,
carbon_cloth_cost,,$/m2,1975,1580,2370,uniform,
ti_electrode_cost,,$/m2,10995,8796,13194,uniform,
si_spacer_cost,,$/m2,1649,1319.2,1978.8,uniform,
acrylic_cost,,$/m2,60.54,48.432,72.648,uniform,
pipe_cost,,$/ft,5.18,4.144,6.216,uniform,
wages,,$/hr,34.1,23.87,44.33,Triangular,https://rshiny.ilo.org/dataexplorer45/?lang=en&segment=indicator&id=SDG_0851_SEX_OCU_NB_A
