parameter,name,unit,expected,low,high,distribution,reference
EC_bush,Nylon bush for EC Cell,USD,19.68,17.712,21.648,triangular,Duke BOM
EC_cell,EC Cell,USD,575,517.5,632.5,triangular,Duke BOM
energy_demand,watts*hour/L,Wh/L,1.1,0.825,1.375,uniform,Duke presentation
EC_cell_lifetime,,yr,2,1.5,2.5,uniform,SI
Titanium_weight,,kg,1.029,0.5145,1.5435,uniform,SI
nylon_weight,,kg,0.78,0.663,0.897,uniform,SI
EC_bush_lifetime,,yr,10,7.5,12.5,uniform,SI
tau,,days,0.010416667,,,constant,CIDI
COD_removal,,fraction of COD removal,0.57515,0.28481,0.876453,triangular,Duke Data
MCF_decay,,fraction of anaerobic conversion of degraded COD,1,,,constant,"IPCC, 2006"
N_max_decay,,fraction of N removal,1,,,constant,Report
N2O_EF_decay,,fraction of of degraded N emitted as N2O,0.005,0.0005,0.006,triangular,"IPCC, 2006; Leeds"
