parameter	name (if diff)	unit	expected	low	high	distribution	references
drying_energy_demand		kW	61.7	46.275	77.125	uniform	N/A
drying_CO2_emissions		% of total C	0.016	0	0.032	uniform	SURT
drying_CH4_emissions		% of total C	0.0003	0	0.0006	uniform	SURT
drying_NH3_emissions		% of total N	0.0026	0	0.0052	uniform	SURT
NH3_to_N2O		% of NH3	0.01	0	0.02	uniform	SURT
energy_required_to_dry_sludge		MJ/kg water	3.5	2.625	4.375	uniform	Tchobanoglous et al.
cake_solids_TS		fraction	0.27	0.22	0.32	uniform	India Pilot
heat_transfer_coeff		MJ / (h m2 K)	0.018			constant	energy report
radiative_emissivity		none	1			constant	energy report
ambient_temp		C	25.6	25.14	26.06	uniform	energy balance
water_air_hx_temp1		C	83.4			constant	energy balance
water_air_hx_area1		m2	0.655368			constant	energy balance
water_air_hx_temp2		C	77.8			constant	energy balance
water_air_hx_area2		m2	0.97608			constant	energy balance
water_air_hx_temp3		C	54			constant	energy balance
water_air_hx_area3		m2	0.655368			constant	energy balance
water_air_hx_temp4		C	56.6			constant	energy balance
water_air_hx_area4		m2	0.97608			constant	energy balance
dryer_heat_transfer_coeff		MJ / (h m2 K)	17.28	3.96	30.6	uniform	Metcalf and Eddy pg 1840 Feed water heater
area_surface		m2	1.5			constant	assumed???
water_out_temp		C	81.7	76.3	87.1	uniform	energy balance
feedstock_temp		C	35			constant	assumed???
carbon_COD_ratio		g C*g COD-1	0.35	0.25	0.4	triangular	
