t	S_I	S_S	X_I	X_S	X_BH	X_BA	X_P	S_O	S_NO	S_NH	S_ND	X_ND	S_ALK	Q
0	30	63.63455	58.476	224.352	31.425	0	0	0	0	30.24762	6.36346	11.814	84	21477
0.010416667	30	61.67313	58.459	224.324	31.42	0	0	0	0	30.21283	6.16731	11.812	84	21474
0.020833333	30	61.71973	53.069	224.373	30.827	0	0	0	0	31.04771	6.17197	11.589	84	19620
0.03125	30	62.16018	51.462	220.973	30.27	0	0	0	0	31.67387	6.21602	11.38	84	19334
0.041666667	30	64.57526	49.73	217.74	29.719	0	0	0	0	33.15925	6.45753	11.172	84	18978
0.052083333	30	67.84871	47.194	214.339	29.059	0	0	0	0	35.11773	6.78487	10.925	84	18321
0.0625	30	72.14054	47.16	219.925	29.676	0	0	0	0	37.86587	7.21405	11.156	84	17855
0.072916667	30	72.47069	44.126	213.292	28.602	0	0	0	0	37.86587	7.24707	10.753	84	17237
0.083333333	30	69.7643	40.893	207.115	27.556	0	0	0	0	36.8501	6.97643	10.36	84	16453
0.09375	30	67.49915	39.927	201.059	26.776	0	0	0	0	36.47441	6.74992	10.066	84	16548
0.104166667	30	62.83833	38.351	196.112	26.051	0	0	0	0	34.38721	6.28383	9.794	84	16295
0.114583333	30	62.46546	33.82	190.698	24.946	0	0	0	0	34.67942	6.24655	9.378	84	14743
0.125	30	53.74197	30.127	183.215	23.705	0	0	0	0	32.06695	5.3742	8.912	84	13613
0.135416667	30	54.44886	27.179	174.894	22.453	0	0	0	0	29.89975	5.44489	8.441	84	12807
0.145833333	30	50.06769	24.696	166.418	21.235	0	0	0	0	27.06813	5.00677	7.983	84	12173
0.15625	30	46.35457	22.34	157.98	20.036	0	0	0	0	24.70265	4.63546	7.532	84	11533
0.166666667	30	44.35819	22.416	150.774	19.243	0	0	0	0	23.38772	4.43582	7.234	84	12198
0.177083333	30	42.57931	20.641	144.789	18.381	0	0	0	0	22.19802	4.25793	6.91	84	11640
0.1875	30	40.00033	20.38	139.342	17.747	0	0	0	0	20.31607	4.00003	6.672	84	11978
0.197916667	30	40.38873	21.877	136.217	17.566	0	0	0	0	20.54218	4.03887	6.604	84	13272
0.208333333	30	40.77713	20.272	133.834	17.123	0	0	0	0	20.71611	4.07771	6.437	84	12452
0.21875	30	40.46641	21.441	131.837	17.031	0	0	0	0	20.7509	4.04664	6.403	84	13453
0.229166667	30	40.83539	21.895	131.328	17.025	0	0	0	0	20.66393	4.08354	6.4	84	13815
0.239583333	30	40.46641	21.843	131.113	16.995	0	0	0	0	20.61175	4.04664	6.389	84	13803
0.25	30	40.50525	19.724	129.632	16.595	0	0	0	0	20.54218	4.05053	6.239	84	12514
0.260416667	30	40.52467	19.397	127.223	16.291	0	0	0	0	20.43782	4.05247	6.124	84	12542
0.270833333	30	40.31105	18.065	124.57	15.848	0	0	0	0	20.40303	4.03111	5.958	84	11865
0.28125	30	40.11685	18.032	122.009	15.56	0	0	0	0	20.15953	4.01169	5.85	84	12118
0.291666667	30	40.04693	17.431	119.832	15.252	0	0	0	0	20.02734	4.00469	5.734	84	11906
0.302083333	30	40.34212	17.354	117.937	15.032	0	0	0	0	19.99951	4.03421	5.651	84	12059
0.3125	30	40.58293	17.689	116.835	14.947	0	0	0	0	20.10039	4.05829	5.619	84	12446
0.322916667	30	40.89365	18.368	116.724	15.01	0	0	0	0	20.40303	4.08937	5.643	84	12982
0.333333333	30	41.16553	18.373	116.978	15.039	0	0	0	0	20.82047	4.11655	5.654	84	12956
0.34375	30	41.86465	18.087	116.911	15	0	0	0	0	21.16834	4.18647	5.639	84	12745
0.354166667	30	42.42395	19.31	117.556	15.207	0	0	0	0	21.6136	4.2424	5.717	84	13597
0.364583333	30	43.94649	20.389	119.384	15.53	0	0	0	0	22.1354	4.39465	5.838	84	14171
0.375	30	48.77431	25.748	121.592	16.371	0	0	0	0	24.68178	4.87743	6.155	84	17637
0.385416667	30	59.88648	27.434	129.566	17.444	0	0	0	0	29.65625	5.98865	6.558	84	17635
0.395833333	30	71.46084	38.139	139.287	19.714	0	0	0	0	34.24807	7.14608	7.411	84	22461
0.40625	30	80.00567	50.426	153.938	22.707	0	0	0	0	37.93544	8.00057	8.536	84	26276
0.416666667	30	94.90087	54.355	171.093	25.05	0	0	0	0	43.39692	9.49009	9.417	84	25598
0.427083333	30	105.7761	64.853	185.275	27.792	0	0	0	0	46.61468	10.57761	10.448	84	27780
0.4375	30	115.2104	75.754	200.681	30.715	0	0	0	0	49.24802	11.52104	11.547	84	29551
0.447916667	30	120.011	88.949	214.334	33.698	0	0	0	0	49.99941	12.0011	12.668	84	31861
0.458333333	30	118.9701	96.678	230.083	36.307	0	0	0	0	49.24802	11.89701	13.649	84	32171
0.46875	30	112.1109	102.536	243.93	38.496	0	0	0	0	45.74154	11.21109	14.472	84	32180
0.479166667	30	102.4553	106.178	255.77	40.216	0	0	0	0	40.85751	10.24553	15.119	84	31869
0.489583333	30	94.81153	95.513	269.734	40.583	0	0	0	0	39.03469	9.48115	15.257	84	28047
0.5	30	88.37961	91.175	273.186	40.485	0	0	0	0	36.8501	8.83796	15.22	84	26695
0.510416667	30	81.2874	90.707	271.839	40.283	0	0	0	0	34.24807	8.12874	15.144	84	26690
0.520833333	30	75.7721	86.229	271.755	39.776	0	0	0	0	32.16088	7.57721	14.953	84	25572
0.53125	30	70.37332	85.708	271.04	39.639	0	0	0	0	30.77985	7.03733	14.902	84	25496
0.541666667	30	68.27595	74.128	271.535	38.407	0	0	0	0	29.79539	6.8276	14.439	84	22401
0.552083333	30	67.03307	87.453	263.672	39.014	0	0	0	0	29.23881	6.70331	14.667	84	26555
0.5625	30	66.76507	85.832	266.445	39.142	0	0	0	0	28.52221	6.67651	14.715	84	25905
0.572916667	30	67.07967	80.16	267.819	38.664	0	0	0	0	27.95867	6.70797	14.535	84	24310
0.583333333	30	68.08952	76.218	265.864	38.009	0	0	0	0	28.12564	6.80895	14.289	84	23404
0.59375	30	68.72261	65.424	263.151	36.508	0	0	0	0	27.55166	6.87226	13.725	84	20560
0.604166667	30	68.31479	57.193	253.853	34.561	0	0	0	0	27.4647	6.83148	12.993	84	18732
0.614583333	30	65.16874	76.515	243.929	35.605	0	0	0	0	26.45589	6.51687	13.385	84	25320
0.625	30	61.64516	70.05	248.609	35.407	0	0	0	0	26.1776	6.16452	13.311	84	23046
0.635416667	30	59.76219	64.178	247.734	34.657	0	0	0	0	26.28891	5.97622	13.029	84	21357
0.645833333	30	58.94655	66.787	243.61	34.489	0	0	0	0	26.78984	5.89466	12.966	84	22487
0.65625	30	59.38933	53.093	242.491	32.843	0	0	0	0	27.29076	5.93893	12.347	84	18221
0.666666667	30	60.21274	48.589	232.067	31.184	0	0	0	0	27.12379	6.02127	11.723	84	17442
0.677083333	30	62.42662	51.669	222.927	30.511	0	0	0	0	27.42295	6.24266	11.47	84	19246
0.6875	30	65.86786	50.501	218.476	29.886	0	0	0	0	28.33436	6.58679	11.235	84	19197
0.697916667	30	65.61928	51.124	215.949	29.675	0	0	0	0	28.2787	6.56193	11.156	84	19637
0.708333333	30	64.00353	49	214.119	29.235	0	0	0	0	27.7082	6.40035	10.991	84	19014
