parameter,name,unit,expected,low,high,distribution,reference,,
four_in_pipe_SCH40,"4"" Pipe SCH 40 x 3000 mm Long",USD,61.28,55.152,67.408,triangular,Duke BOM,,
four_in_pipe_SCH80,"4"" SCH 80 Union",USD,62.88,56.592,69.168,triangular,Duke BOM,,
four_in_pipe_SCH80_endcap,"4"" SCH 80 End cap",USD,16.64,14.976,18.304,triangular,Duke BOM,,
NRV,"1/4"" NRV",USD,24.33,21.897,26.763,triangular,Duke BOM,,
connector,"1/4"" x 10 mm Male connector",USD,8,7.2,8.8,triangular,Duke BOM,,
ball_valve,"3/8"" Ball valve with knob (F)",USD,19.52,17.568,21.472,triangular,Duke BOM,,
three_eight_elbow,"Male elbow 3/8"" x 10 mm",USD,26.67,24.003,29.337,triangular,Duke BOM,,
ten_ten_mm_tee,10 mm x 10 mm union TEE,USD,4.59,4.131,5.049,triangular,Duke BOM,,
OD_tube,OD 10 x ID 8 transparent tube x 6 mtr long,USD,7.87,7.083,8.657,triangular,Duke BOM,,
four_in_pipe_clamp,"4"" NB Pipe Clamp",USD,4.92,4.428,5.412,triangular,Duke BOM,,
GAC_zeolite_mesh,GAC and Zeolite Mesh Bags,USD,20,18,22,triangular,Duke BOM,,
TN_removal,total nitrogen removal,% removal ,0.99,0.891,1,triangular,Lena's notes,,1.828571429
zeolite_weight,weight of clinoptolite,kg,8,,,constant,Lena's notes,,0.022857143
zeolite_lifetime,replacement of clinoptolite,L,3200,,,constant,Lena's notes,,
gac_weight,weight of GAC,kg,1.83,1,3,triangular,NEWgen analysis and scaled based on zeolite weight (newgen zeolite is 350 with gac weight of 8 so 2 % of zeolite weight),,
gac_lifetime,lietime of GAC,L,9000,4500,13500,constant,NEWgen analysis,,
KCl_weight,weight of KCl,kg,1.005932,0.67,1.341864,uniform,Lena's notes: 9 - 18 L of 1M KCL),,
KCl_lifetime,replacement of KCl,L,3200,,,constant,"Lena's notes, replace every cycle 6 cyles = 3 months",,
regen_freq_per_yr,regeneration of zeolite per year,/yr,9,6,24,uniform,Lena's notes: 6 regeneration cycles every 3 months,,
desorption_recovery_efficiency,d,% recovery,95,90,100,uniform,NEWgen analysis,,
PVC_weight,,kg,10,5,15,uniform,Duke BOM with 50% uncertainty ,,
Steel_weight,,kg,0.45,0.225,0.675,uniform,Duke BOM with 50% uncertainty ,,
Plastic_weight,,kg,1,0.9,2.1,uniform,Duke BOM with 50% uncertainty ,,
contact_time,,hr,2,,,constant,Lena's notes,,
