parameter	name (if diff)	unit	expected	low	high	distribution	references
orc_cost		USD	24000	16000	32000	uniform	energy balance research paper and FSM4_Ben_FINAL.pf
oil_pump_power		kW	0.065	0.04875	0.08125	uniform	-
oil_electrical_energy_generated		kW	2.2	1.65	2.75	uniform	energy balance
oil_flowrate		L/min	12.69889	10.756657	14.641123	uniform	energy balance
ohx_temp		C	210.3	146.2	274.4	uniform	energy balance
oil_temp_in		C	88.2	84.21	92.19	uniform	energy balance
oil_temp_out		C	154	144.72	163.28	uniform	energy balance
oil_density		kg/m3	759			constant	energy balance
oil_specific_heat		kJ/kg K	2.38			constant	energy balance
amb_temp		C	25.6	25.14	26.06	uniform	energy balance
oil_r_pipe_k_k_w		K/kW	0.09			constant	energy balance
oil_r_insulation_k_k_w		K/kW	57.3			constant	energy balance
