parameter	name (if diff)	unit	expected	low	high	distribution	references
sludge_dryer_weight		kg	35	24.5	45.5	uniform	https://s3.amazonaws.com/s3.supplyhouse.com/product_files/Wayne-Combustion-64466-User-Guide.pdf
sludge_barrel_weight		kg	16.8	11.8	21.8	uniform	https://www.uline.com/Product/Detail/S-10759/Drums/Steel-Drum-55-Gallon-Closed-Top-Unlined
sludge_dryer		USD	710	497	923	uniform	https://www.supplyhouse.com/Wayne-Combustion-64466-P250AF-NG-Burner-120v-DI-50000-250000-BTU
sludge_barrel		USD	110	77	143	uniform	https://www.uline.com/Product/Detail/S-10759/Drums/Steel-Drum-55-Gallon-Closed-Top-Unlined
sludge_labor_maintenance		h	3	2.1	3.9	uniform	assumption
sludge_wages		usd per cap per d	29.11	14.55	43.68	triangular	SURT report average from an average across water
sludge_china		USD	52.59	41.832	62.748	uniform	china
sludge_india		USD	29.12	23.296	27.9552	uniform	india
sludge_southafrica		USD	29.39	23.512	35.268	uniform	south africa
sludge_senegal		USD	29.12	23.296	34.944	uniform	senegal
sludge_uganda		USD	5.37	4.296	6.444	uniform	uganda
