parameter,name,unit,expected,low,high,distribution
water_recovery,,fraction,0.6,0.33,0.75,uniform
daily_flow_rate,,L/d,100,,,constant
water_flux,,L/(m2*h),15,,,constant
TDS_removal,,fraction,0.95,0.9,0.99,triangular
TSS_removal,,fraction,0.999,0.99,1,uniform
reverse_osmosis_system_cost,,USD,401.55875,69.99,1600,triangular
piping_cost,,USD,93,65.1,120.9,uniform
RO_energy_consumption,,kWh/kg water,0.0475,0.029,0.066,uniform
membrane_cost,,USD,140,98,182,uniform
membrane_life_time,,yr,2,1.4,2.6,constant
reverse_osmosis_maintenance,,hr/yr,6,4.2,7.8,uniform
reverse_osmosis_operation,,hr/d,2,1.4,2.6,uniform
wages,,USD/h,3.64,1.82,5.46,uniform
material_replacement_cost,,fraction,0.04,0.02,0.06,uniform
GFRPlastic_weight,,kg,15,10.5,19.5,uniform
membrane_area,,m2,2,1.4,2.6,uniform
Steel_weight,,kg,5,3.5,6.5,uniform
back_flush_pump_cost,,USD,89.05,75.69,102.41,uniform
backwash_pump_energy_percycle,,kWh,0.00008,0.000064,0.000096,uniform
air_scrubbing_blower_cost,,USD,200.3933333,140.2753333,260.5113333,uniform
air_scrubbing_energy_percycle,,kWh,0.004166667,0.002916667,0.005416667,uniform
accumulated_COD_triggering_cleaning,,kg COD/m2 per cycle,0.01,0.0007,0.013,uniform
NH3_removal,,fraction,0.74,0.69,0.91,triangular
extreme_RO_energy_consumption,,kWh/kg water,0.0006,0.000042,0.00078,uniform
extreme_water_recovery,,fraction,0.8,0.56,1,uniform
