parameter,name,unit,expected,low,high,distribution,reference
four_in_pipe_SCH40,"4"" Pipe SCH 40 x 3000 mm Long",USD,61.28,55.152,67.408,triangular,Duke BOM
four_in_pipe_SCH80,"4"" SCH 80 Union",USD,62.88,56.592,69.168,triangular,Duke BOM
four_in_pipe_SCH80_endcap,"4"" SCH 80 End cap",USD,16.64,14.976,18.304,triangular,Duke BOM
NRV,"1/4"" NRV",USD,24.33,21.897,26.763,triangular,Duke BOM
connector,"1/4"" x 10 mm Male connector",USD,8,7.2,8.8,triangular,Duke BOM
ball_valve,"3/8"" Ball valve with knob (F)",USD,19.52,17.568,21.472,triangular,Duke BOM
three_eight_elbow,"Male elbow 3/8"" x 10 mm",USD,26.67,24.003,29.337,triangular,Duke BOM
ten_ten_mm_tee,10 mm x 10 mm union TEE,USD,4.59,4.131,5.049,triangular,Duke BOM
OD_tube,OD 10 x ID 8 transparent tube x 6 mtr long,USD,7.87,7.083,8.657,triangular,Duke BOM
four_in_pipe_clamp,"4"" NB Pipe Clamp",USD,4.92,4.428,5.412,triangular,Duke BOM
GAC_zeolite_mesh,GAC and Zeolite Mesh Bags,USD,20,18,22,triangular,Duke BOM
TN_removal,total nitrogen removal,% removal ,0.7,0.63,0.77,triangular,NEWgen analysis
zeolite_weight,,kg,350,,,,NEWgen analysis
zeolite_lifetime,,yr,5,,,,NEWgen analysis
gac_weight,,kg,80,,,,NEWgen analysis
gac_lifetime,,yr,0.5,,,,NEWgen analysis
HCL_weight,,kg,40,,,,NEWgen analysis
regen_freq_per_yr,,/yr,3,2.4,3.6,uniform,NEWgen analysis
_desorption_recovery_efficiency,,/yr,0.54,,,,NEWgen analysis
PVC_weight,,kg,10,5,15,uniform,Duke BOM with 50% uncertainty 
Steel_weight,,kg,0.45,0.225,0.675,uniform,Duke BOM with 50% uncertainty 
Plastic_weight,,kg,0.9,0.45,1.35,uniform,Duke BOM with 50% uncertainty 
