parameter,name (if diff),unit,expected,low,high,distribution,references
anmbr_reactor_tank,,USD,2700,2295,3105,uniform,Bill of Materials NG-100 - For LCA Work
anmbr_reactor_media,,USD,87.99,74.79,101.19,uniform,Bill of Materials NG-100 - For LCA Work
anmbr_reactor_fittings,,USD,93.65,79.6,107.7,uniform,Bill of Materials NG-100 - For LCA Work
anmbr_membrane_module,,USD,1700,1445,1955,uniform,Bill of Materials NG-100 - For LCA Work
anmbr_permeate_pump,membrane_permeate_pump,USD,115.92,98.53,133.31,uniform,Bill of Materials NG-100 - For LCA Work
anmbr_backwash_pump,membrane_backwash_pump,USD,89.05,75.69,102.41,uniform,Bill of Materials NG-100 - For LCA Work
anmbr_water_pump,membrane_water_pump,USD,269.99,229.49,310.49,uniform,Bill of Materials NG-100 - For LCA Work
anmbr_membrane_fittings,,USD,249.32,211.92,286.72,uniform,Bill of Materials NG-100 - For LCA Work
anmbr_permeate_pump_lifetime,,y,2,,,constant,Orig 2.5. Key component replacement (v.4)
anmbr_membrane_pump_lifetime,,y,4,,,constant,Orig 3.5. Key component replacement (v.4)
anmbr_membrane_module_lifetime,,y,10,,,constant,Orig 10. Key component replacement (v.4)
anmbr_biogas_gas_bag,,USD,229,194.65,263.35,uniform,Bill of Materials NG-100 - For LCA Work
anmbr_biogas_fittings,,USD,32.94,28,37.88,uniform,Bill of Materials NG-100 - For LCA Work
anmbr_biogas_ventilation,,USD,51.9,44.12,59.69,uniform,Bill of Materials NG-100 - For LCA Work
anmbr_COD_removal,anmbr_COD_original_removal,ratio,0.82,0.7,0.94,uniform,UIUC Request Data - Gary Shyu
anmbr_TN_removal,anmbr_totalN_original_removal,ratio,0.2,0.02,0.37,uniform,UIUC Request Data - Gary Shyu
anmbr_TP_removal,anmbr_totalP_original_removal,ratio,0.19,0,0.39,uniform,UIUC Request Data - Gary Shyu
anmbr_water_pump_energy_percycle,,kWh,0.016583,0.013266,0.0199,uniform,Energy Budget - NEWgen.100 (v.2)
anmbr_permeate_pump_energy_percycle,,kWh,0.001951,0.001561,0.002341,uniform,Energy Budget - NEWgen.100 (v.2)
anmbr_backwash_pump_energy_percycle,,kWh,0.00008,0.000064,0.000096,uniform,Energy Budget - NEWgen.100 (v.2)
anmbr_batch_cycle_perday,,# batches day-1,33.06878307,26.455026,39.68254,uniform,Energy Budget - NEWgen.100 (v.2)
anmbr_labor_maintenance_membrane_chem_cleaning,,hrs/yr,12,9.6,14.4,uniform,Maintenance schedule_NEWgen100_2021_V.2
anmbr_labor_maintenance_sludge_removal,,hrs/yr,3,2.4,3.6,uniform,Maintenance schedule_NEWgen100_2021_V.2
