parameter,name (if diff),unit,expected,low,high,distribution,references
battery_storage_cost,energy storage colloidal battery (set has 24 pieces),USD/set,6360,5724,6996,triangular,BOM
battery_holder_cost,,USD/set,538,484.2,591.8,triangular,BOM
solar_cost,solar module (5445 W),USD/W,0.5,0.45,0.55,triangular,BOM
solar_module_system,solar module bracket system base,USD/set,438,394.2,481.8,triangular,BOM
inverter_cost,inverter control integrated machine,USD/set,2909,2618.1,3199.9,triangular,BOM
pannel_cleaning,,hr/yr,10,5,15,uniform,BOM
solar_lifetime,,year,2,1,3,uniform,BOM
battery_lifetime,,year,10,9,11,uniform,BOM
solar_capacity,,m2,19.8,14.85,24.75,uniform,BOM
battery_kg,,kg,68.7,51.525,85.875,uniform,6-CNJ-250
wages,,USD/cap/hr,3.64,1.82,5.46,uniform,Gates Scenario Specific Report 2022
power_demand_120users,,W,720,540,900,uniform,Duke notes
power_demand_30users,,W,838,628.5,1047.5,uniform,Duke notes
