parameter,name,unit,expected,low,high,distribution,uncertainty_assumption,reference
TSS_removal,removal of total suspended solids,ratio,0.9,0.85,0.95,uniform,given,SCG Design Team
BOD_removal,removal of biochemical oxygen demand,ratio,0.85,0.8,0.9,uniform,given,SCG Design Team
COD_removal,removal of chemical oxygen demand,ratio,0.85,0.8,0.9,uniform,given,SCG Design Team
TKN_removal,removal of total Kjeldahl nitrogen,ratio,0.75,0.7,0.8,uniform,given,SCG Design Team
NH3_N_removal,removal of ammonia nitrogen,ratio,0.75,0.7,0.8,uniform,given,SCG Design Team
TN_removal,removal of total nitrogen,ratio,0.75,0.7,0.8,uniform,given,SCG Design Team
TP_removal,removal of total phosphorus,ratio,0.775,0.75,0.8,uniform,given,SCG Design Team
Ecoli_removal,removal of E. coli,ratio,0.9999,0.99,0.9999,uniform,given,SCG Design Team
aquonic1000_energy_demand,energy requirements for Aquonic 1000L (5-6 kWh/day),kWh/day,0.229,0.2083,0.25,uniform,given,SCG Design Team
lifetime_pump,replacement time for pumps,year,3,2,4,uniform,+/- 1 year,SCG Design Team
lifetime_EC_plates,replacement time for electrochemical plates,year,3,2,4,uniform,+/- 1 year,SCG Design Team
lifetime_soil_media,replacement time for soil media,year,5,4,6,uniform,+/- 1 year,SCG Design Team
lifetime_aquonic1000,lifetime of other Aquonic 1000L parts,year,15,10,15,uniform,given,SCG Design Team
labor_hours_backwash,labor to backwash the system (2-3 hours every 2-3 months),hrs/yr,13,8,18,uniform,given,SCG Design Team
labor_hours_ec_plates,labor to replace EC plates (1-2 hours every 2-3 years),hrs/yr,0.67,0.33,1,uniform,given,SCG Design Team
labor_wage,general labor wage,USD/hr,3.64,1.82,5.46,triangular,50%,ILO Stat
qty_1inch_PVC_pipe,"length of 1"" PVC pipe",m,19.8,17.82,21.78,uniform,10%,SCG Design Team
qty_1inch_PVC_valve,quantity of PVC pipe valves,pc,16,,,constant,-,SCG Design Team
qty_1inch_PVC_90degree_elbow,quantity of PVC 90 degree elbows,pc,5,,,constant,-,SCG Design Team
qty_1inch_PVC_T_elbow,quantity of PVC T-elbows,pc,6,,,constant,-,SCG Design Team
qty_1inch_PVC_3way_corner_elbow,quantity of PVC 3-way corner elbows,pc,3,,,constant,-,SCG Design Team
qty_aerator,quantity of aerators,pc,3,,,constant,-,SCG Design Team
qty_air_hose,length of air hose (assume 10 mm outer diameter and 8mm inner diameter),m,3,2.7,3.3,uniform,10%,SCG Design Team and assumption
qty_PE_housing,volume of polyethylene for housing and chambers,m3,2.02,1.818,2.222,uniform,10%,SCG Design Team
qty_plastic_media,mass of plastic media,kg,72,64.8,79.2,uniform,10%,SCG Design Team
qty_soil_media,mass of soil media,kg,360,324,396,uniform,10%,SCG Design Team
qty_pump,quantity of pumps,pc,2,,,constant,-,SCG Design Team
qty_electrode_plates,volume of metal alloy for electrode plates,m3,0.00013,0.000117,0.000143,uniform,10%,SCG Design Team
qty_electrical_cable,length of electrical cable,m,2,1.8,2.2,uniform,10%,SCG Design Team
qty_concrete,volume of concrete,m3,0.508,0.4064,0.6096,uniform,10%,SCG Design Team and assumption
mass_1inch_PVC_pipe,mass per length of schedule 40 PVC pipe (32lb per 100ft),kg/m,0.48,0.432,0.528,uniform,10%,http://www.midcoonline.com/web/Pages/Products/Pipe/Info/PVC_CPVC/
mass_1inch_PVC_valve,mass of PVC pipe valves,kg,0.19,0.171,0.209,uniform,10%,https://www.amazon.com/1-PVC-Slip-Ball-Valve/dp/B01A7P8SN8
mass_1inch_PVC_90degree_elbow,mass of PVC 90 degree elbow,kg,0.05,0.045,0.055,uniform,10%,https://www.amazon.com/SDTC-Tech-Furniture-Connector-Structure/dp/B088QNLFJZ/ref=sr_1_2?crid=2J8T4AHAPVUSS&keywords=1%22+PVC+90+degree+elbow&qid=1641265850&s=hi&sprefix=1+pvc+90+degree+elbow%2Ctools%2C82&sr=1-2
mass_1inch_PVC_T_elbow,mass of PVC T elbow,kg,0.08,0.072,0.088,uniform,10%,https://www.amazon.com/SDTC-Tech-Furniture-Connector-Structure/dp/B08HJ2FZL9/ref=sr_1_1?crid=1QVTXLH96YTH1&keywords=1%22+PVC+T+elbow&qid=1641265940&s=hi&sprefix=1+pvc+t+elbow%2Ctools%2C71&sr=1-1
mass_1inch_PVC_3way_corner_elbow,mass of PVC 3-way corner,kg,0.06,0.054,0.066,uniform,10%,https://www.amazon.com/1CAMO-3-Way-Fittings-Inch-White/dp/B017AOHER0/ref=sr_1_3?crid=1XUXDUW9IBON7&keywords=1%22+PVC+3+way+corner&qid=1641265989&s=hi&sprefix=1+pvc+3+way+corner%2Ctools%2C73&sr=1-3
mass_air_hose,mass of 10mm outer diameter air hose,kg/m,0.045,0.0405,0.0495,uniform,10%,https://www.amazon.com/Silicone-Flexible-Rubber-Tubing-Transparent/dp/B08GPD22ZC/ref=asc_df_B08GPD22ZC/?tag=hyprod-20&linkCode=df0&hvadid=476098285857&hvpos=&hvnetw=g&hvrand=14873893186610328284&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9022196&hvtargid=pla-1097050822984&th=1
mass_PE_housing,density of polyethylene,kg/m3,958.5,952,965,uniform,range,https://dielectricmfg.com/knowledge-base/polyethylene/
mass_electrode_plates,,kg/m3,4420,,,constant,-,"https://en.wikipedia.org/wiki/Titanium_alloy#:~:text=It%20has%20a%20density%20of,tensile%20strength%20of%201000%20MPa."
price_1inch_PVC_pipe,,USD/m,3,1.5,4.5,uniform,50%,https://www.homedepot.com/p/JM-EAGLE-1-in-x-10-ft-PVC-Schedule-40-Plain-End-Pipe-531194/202280936
price_1inch_PVC_valve,,USD/pc,5.2,2.6,7.8,uniform,50%,https://www.amazon.com/1-PVC-Slip-Ball-Valve/dp/B01A7P8SN8
price_1inch_PVC_90degree_elbow,,USD/pc,2.75,1.375,4.125,uniform,50%,https://www.amazon.com/SDTC-Tech-Furniture-Connector-Structure/dp/B088QNLFJZ/ref=sr_1_2?crid=2J8T4AHAPVUSS&keywords=1%22+PVC+90+degree+elbow&qid=1641265850&s=hi&sprefix=1+pvc+90+degree+elbow%2Ctools%2C82&sr=1-2
