parameter,name,unit,expected,low,high,distribution,uncertainty_assumption,reference
mass_breaker_1P_16A,,kg/pc,0.125,0.1125,0.1375,uniform,10%,https://www.999automation.com/schneider-electric-acti-9-ic60n-a9f43116
mass_breaker_1P_2A,,kg/pc,0.125,0.1125,0.1375,uniform,10%,https://www.999automation.com/schneider-electric-acti-9-ic60n-a9f43102
mass_breaker_1P_3A,,kg/pc,0.125,0.1125,0.1375,uniform,10%,https://www.999automation.com/schneider-electric-acti-9-ic60n-a9f43103
mass_breaker_2P_25A,,kg/pc,0.25,0.225,0.275,uniform,10%,https://www.999automation.com/schneider-electric-acti-9-ic60n-a9f44225
mass_breaker_2P_3A,,kg/pc,0.25,0.225,0.275,uniform,10%,https://www.999automation.com/schneider-electric-acti-9-ic60n-a9f43203
mass_emergency_button,,kg/pc,0.07,0.063,0.077,uniform,10%,https://www.radwell.com/Shop?source=GoogleShopping&IgnoreRedirect=true&ItemSingleId=842720&utm_source=google&utm_medium=cpc&adpos=&scid=scplp842720&sc_intid=842720&gclid=CjwKCAiAz--OBhBIEiwAG1rIOg8aJEgPVL9lOHFPFMc2Z_0iZt95XYCc_7_s3fsi3Jd17dnsSufa0BoClSsQAvD_BwE
mass_fuse,,kg/pc,0.007,0.0063,0.0077,uniform,10%,https://www.amazon.com/uxcell-10mm-38mm-Quick-Ceramic/dp/B00DGWR1JC
mass_fuse_holder,,kg/pc,0.042,0.0378,0.0462,uniform,10%,https://s3.amazonaws.com/s3.supplyhouse.com/product_files/Square-D-DF101-Product-Overview.pdf
mass_inverter,,kg/pc,1.2,1.08,1.32,uniform,10%,https://www.walkerindustrial.com/v/vspfiles/pdf/datasheet/baldor/Baldor_ACS150_Series_Motor_Drives_Datasheet.pdf
mass_IO_card,,kg/pc,0.29,0.261,0.319,uniform,10%,https://www.automation24.com/expansion-module-siemens-logo-dm16-24r-6ed10551nb100ba2?refID=adwords_product-number_USA&gclid=CjwKCAiAz--OBhBIEiwAG1rIOgWnM_4P1oSbMx0EKyz0EwdHJqyLfHzEpUtbrgLfR8CQRAHE474DhxoC3PcQAvD_BwE
mass_level_control_relay,,kg/pc,0.072,0.0648,0.0792,uniform,10%,https://www.geya.net/product/level-control-relay-grl8-01-02/#1613977747008-40f48eb1-a1f9
mass_PLC_controller,,kg/pc,0.27,0.243,0.297,uniform,10%,https://www.amazon.com/Siemens-6ED1052-1MD08-0BA0-24RCE-logic-module/dp/B0792DD6X9
mass_polot_lamp,,kg/pc,0.05,0.045,0.055,uniform,10%,https://www.radwell.com/Shop?source=GoogleShopping&IgnoreRedirect=true&ItemSingleId=711585&utm_source=google&utm_medium=cpc&adpos=&scid=scplp711585&sc_intid=711585&gclid=CjwKCAiAz--OBhBIEiwAG1rIOtMukOz9dLeEdvve3MBsvPY_txdrGZow9XS2rY7uvS8YSbU7kClW6BoC670QAvD_BwE
mass_power_supply,,kg/pc,0.6,0.54,0.66,uniform,10%,https://www.amazon.com/MEAN-WELL-EDR-120-24-Industrial-Supply/dp/B08D3S16FT
mass_push_button,,kg/pc,0.04,0.036,0.044,uniform,10%,https://www.amazon.com/Idec-HW1L-M1F10QD-G-24V-Illuminated-Push-Button-Switch/dp/B00DLS6YHQ/ref=sr_1_6?crid=IU289BO5046M&keywords=idec+push+button+switch&qid=1641843612&sprefix=idec+push+button+switch%2Caps%2C113&sr=8-6
mass_push_button_with_lamp,,kg/pc,0.04,0.036,0.044,uniform,10%,https://www.amazon.com/Idec-HW1L-M1F10QD-G-24V-Illuminated-Push-Button-Switch/dp/B00DLS6YHQ/ref=sr_1_6?crid=IU289BO5046M&keywords=idec+push+button+switch&qid=1641843612&sprefix=idec+push+button+switch%2Caps%2C113&sr=8-6
mass_relay_2_NO,,kg/pc,0.035,0.0315,0.0385,uniform,10%,https://www.alliedelec.com/m/d/cc3ba81a4a61a3058b8aae43f1541c36.pdf
mass_relay_4_NO,,kg/pc,0.035,0.0315,0.0385,uniform,10%,https://www.alliedelec.com/m/d/cc3ba81a4a61a3058b8aae43f1541c36.pdf
mass_relay_socket,,kg/pc,0.001,0.0009,0.0011,uniform,10%,https://www.amazon.com/ONLINE-LED-STORE-Pack-Interlocking/dp/B01KVZ2MCW/ref=sr_1_4?crid=ZVAZ7P8K2OC&keywords=relay+socket&qid=1641842777&sprefix=relay+socket%2Caps%2C86&sr=8-4
mass_selector_swt_2way,,kg/pc,0.02,0.018,0.022,uniform,10%,https://www.radwell.com/Shop?source=GoogleShopping&IgnoreRedirect=true&ItemSingleId=54821186&utm_source=google&utm_medium=cpc&adpos=&scid=scplp54821186&sc_intid=54821186&gclid=CjwKCAiAz--OBhBIEiwAG1rIOo21XyZJqYk9mF1-cCLplcrydkR7_UGCmXhTNXvV8Xd3nx_29s1r8xoCie0QAvD_BwE
mass_selector_swt_3way,,kg/pc,0.02,0.018,0.022,uniform,10%,https://www.radwell.com/Shop?source=GoogleShopping&IgnoreRedirect=true&ItemSingleId=54821186&utm_source=google&utm_medium=cpc&adpos=&scid=scplp54821186&sc_intid=54821186&gclid=CjwKCAiAz--OBhBIEiwAG1rIOo21XyZJqYk9mF1-cCLplcrydkR7_UGCmXhTNXvV8Xd3nx_29s1r8xoCie0QAvD_BwE
mass_solid_state_relay,,kg/pc,0.09,0.081,0.099,uniform,10%,https://www.amazon.com/SSR-40AA-Module-90-250V-Output-24-480V/dp/B07N51CBV5
mass_temp_controller,,kg/pc,0.18,0.162,0.198,uniform,10%,https://toho-inc.com/english/data/english/pdf/TTM-000W%20Catalogue.pdf
mass_thermostat,,kg/pc,0.06,0.054,0.066,uniform,10%,https://www.galco.com/buy/Stego/01140.9-00
price_breaker_1P_16A,,USD/pc,24,18,30,uniform,25%,https://www.999automation.com/schneider-electric-acti-9-ic60n-a9f43116
price_breaker_1P_2A,,USD/pc,27,20.25,33.75,uniform,25%,https://www.999automation.com/schneider-electric-acti-9-ic60n-a9f43102
price_breaker_1P_3A,,USD/pc,7,5.25,8.75,uniform,25%,https://www.999automation.com/schneider-electric-acti-9-ic60n-a9f43103
price_breaker_2P_25A,,USD/pc,65,48.75,81.25,uniform,25%,https://www.999automation.com/schneider-electric-acti-9-ic60n-a9f44225
price_breaker_2P_3A,,USD/pc,70,52.5,87.5,uniform,25%,https://www.999automation.com/schneider-electric-acti-9-ic60n-a9f43203
price_emergency_button,,USD/pc,44,33,55,uniform,25%,https://www.radwell.com/Shop?source=GoogleShopping&IgnoreRedirect=true&ItemSingleId=842720&utm_source=google&utm_medium=cpc&adpos=&scid=scplp842720&sc_intid=842720&gclid=CjwKCAiAz--OBhBIEiwAG1rIOg8aJEgPVL9lOHFPFMc2Z_0iZt95XYCc_7_s3fsi3Jd17dnsSufa0BoClSsQAvD_BwE
price_fuse,,USD/pc,0.65,0.4875,0.8125,uniform,25%,https://www.amazon.com/uxcell-10mm-38mm-Quick-Ceramic/dp/B00DGWR1JC
price_fuse_holder,,USD/pc,12,9,15,uniform,25%,https://www.alliedelec.com/product/schneider-electric/df101/71019393/?utm_source=google&utm_medium=cpc&adpos=&scid=scplp71019393&sc_intid=71019393&gclid=CjwKCAiAz--OBhBIEiwAG1rIOphTHO_7G5WpBnMSV6cKqxBTXeMDrBU9PId0t2eNb2cSF8LcHem3pRoCiJIQAvD_BwE&gclsrc=aw.ds
price_inverter,,USD/pc,180,135,225,uniform,25%,https://www.walkerindustrial.com/1Ph-Supply-Voltage-200-to-240V-0-5HP-p/acs150-01u-02a4-2.htm
price_IO_card,,USD/pc,160,120,200,uniform,25%,https://www.automation24.com/expansion-module-siemens-logo-dm16-24r-6ed10551nb100ba2?refID=adwords_product-number_USA&gclid=CjwKCAiAz--OBhBIEiwAG1rIOgWnM_4P1oSbMx0EKyz0EwdHJqyLfHzEpUtbrgLfR8CQRAHE474DhxoC3PcQAvD_BwE
