parameter,name (if diff),unit,expected,low,high,distribution,,
disposal_cost,,$/dry-ton,450,360,540,uniform,,
organics_split,,,0.55,0.45,0.65,uniform,,
m_diameter,,m,0.2032,0.16256,0.24384,uniform,,
m_surface_area,,m2,33,26.4,39.6,uniform,,
bw_flux_ratio,,,1.575,1.4,1.75,uniform,,
bw_time_ratio,,,0.130555556,0.104444444,0.156666667,uniform,,
TMP,,kPa,45,4,50,uniform,,
TMP_back,,kPa,70,56,84,uniform,,
cross_section_velocity,,m/s,2.2,0.4,4,uniform,,
lifetime,,year,10,5,15,uniform,,
wages,,$/hr,34.1,23.87,44.33,Triangular,https://rshiny.ilo.org/dataexplorer45/?lang=en&segment=indicator&id=SDG_0851_SEX_OCU_NB_A,
membrane_unit_cost,,$/ea,384.5,263,506,uniform,https://wateranywhere.com/collections/microfiltration-mf-membrane-elements?srsltid=AfmBOorEuC8pbhCShz8e-7QsdfKTXH5EvA1CXA0zyTTJRRYMSTkrtA_e,
material_repair_and_replacement_cost,,,0.035,0.03,0.04,uniform,4.3,assumed from CapdetWorks
hdpe_cost,,$/kg,132.8631494,106.2905195,159.4357793,,,
forward_flux,,LMH,50,40,60,,,
water_recovery,,,0.9,0.85,0.95,uniform,MtCalf&Eddy Table 11-30,
