impactMethodName;impactMethodId;categoryName;categoryId;indicatorName;indicatorId;indicatorUnitName;gC
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;ionising radiation;6654217b-c14f-42fe-98cd-9ff90110e564;ionising radiation;7f3545b9-7937-44cd-a32f-9ff90110e565;DALYs;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 1.43E+2, W-Europe 1995: 4.86E+4, World 1995: 1.34E+5, World 1990: 1.12E+5 [DALYs (E,H) / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;freshwater aquatic ecotoxicity;e94c7111-9736-44ba-8160-9ff90110e799;FAETP 100a;32b94121-8780-4b58-b42e-9ff90110e799;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 6.44E+9, W-Europe 1995: 4.72E+11, World 1995: 1.81E+12, World 1990: 1.81E+12 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;freshwater aquatic ecotoxicity;df71ffb1-8d6a-4aeb-b85f-9ff90110eab2;FAETP 20a;d909a0d4-52b4-42bd-a54c-9ff90110eab3;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 6.33E+9, W-Europe 1995: 4.69E+11, World 1995: 1.79E+12, World 1990: 1.78E+12 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;freshwater aquatic ecotoxicity;bf8a5eff-49f7-415e-89a7-9ff90110ea30;FAETP 500a;0b909bd1-74ad-4c18-87cc-9ff90110ea30;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 6.76E+9, W-Europe 1995: 4.82E+11, World 1995: 1.88E+12, World 1990: 1.89E+12 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;freshwater aquatic ecotoxicity;ee23b9d2-b03c-4ca1-a37e-9ff90110e849;FAETP infinite;ac0da4d2-ea5b-4ba4-a86d-9ff90110e84a;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 7.54E+9, W-Europe 1995: 5.05E+11, World 1995: 2.04E+12, World 1990: 2.07E+12 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;freshwater sediment ecotoxicity;76c7b600-d3cc-4ae3-9609-9ff90110e87e;FSETP 100a;24bec22e-51d2-430b-ab43-9ff90110e87e;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 7.45E+9, W-Europe 1995: 4.38E+11, World 1995: 1.89E+12, World 1990: 1.89E+12 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;freshwater sediment ecotoxicity;7e0e1d9f-f1f0-450d-957b-9ff90110e92f;FSETP 20a;4377cced-84e0-4637-8c65-9ff90110e92f;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 7.18E+9, W-Europe 1995: 4.31E+11, World 1995: 1.84E+12, World 1990: 1.83E+12 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;freshwater sediment ecotoxicity;518c4fec-7843-4c1f-a548-9ff90110e8fd;FSETP 500a;36261c7c-4c83-4c8a-83f1-9ff90110e8fd;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 8.27E+9, W-Europe 1995: 4.62E+11, World 1995: 2.07E+12, World 1990: 2.09E+12 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;freshwater sediment ecotoxicity;8a7e5a88-f72c-4a02-978b-9ff90110e98b;FSETP infinite;17cba40c-ce4d-4baf-984d-9ff90110e98b;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 1.02E+10, W-Europe 1995: 5.18E+11, World 1995: 2.46E+12, World 1990: 2.53E+12 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;human toxicity;61b010de-cc26-4b99-8be1-9ff90110ea5d;HTP 100a;ad9d7753-2689-42c8-b01a-9ff90110ea5d;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 1.87E+11, W-Europe 1995: 7.49E+12, World 1995: 5.67E+13, World 1990: 5.94E+13 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;human toxicity;9bf87ca9-6ad1-4c2d-a63d-9ff90110e60a;HTP 20a;5e6c664e-83c9-4ffa-94b1-9ff90110e60a;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 1.86E+11, W-Europe 1995: 7.48E+12, World 1995: 5.67E+13, World 1990: 5.94E+13 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;human toxicity;2263b24e-f16d-4b81-aaff-9ff90110e677;HTP 500a;a9821f38-fbad-4a9c-a73d-9ff90110e677;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 1.87E+11, W-Europe 1995: 7.50E+12, World 1995: 5.68E+13, World 1990: 5.94E+13 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;human toxicity;f7cd35a9-8d07-4cf2-b435-9ff90110e9c1;HTP infinite;845c18ff-9ad1-4dbd-a75d-9ff90110e9c1;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 1.88E+11, W-Europe 1995: 7.57E+12, World 1995: 5.71E+13, World 1990: 6.00E+13 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;marine aquatic ecotoxicity;233591c5-aa17-4532-8b2a-9ff90110e810;MAETP 100a;9008226d-3a31-405d-ac75-9ff90110e811;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 1.16E+10, W-Europe 1995: 4.64E+11, World 1995: 1.90E+12, World 1990: 2.94E+12 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;marine aquatic ecotoxicity;d7a13adc-e738-40cd-ad7a-9ff90110e6f4;MAETP 20a;6a2f44c2-58d9-46aa-8ea2-9ff90110e6f5;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 2.74E+9, W-Europe 1995: 1.16E+11, World 1995: 4.83E+11, World 1990: 6.59E+11 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;marine aquatic ecotoxicity;0eb23f3d-2376-4e3c-b653-9ff90110e52e;MAETP 500a;e3129da9-6867-4d76-a71a-9ff90110e52e;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 6.01E+10, W-Europe 1995: 2.33E+12, World 1995: 9.83E+12, World 1990: 1.55E+13 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;marine aquatic ecotoxicity;e394565b-66b6-4b5a-b064-9ff90110e44d;MAETP infinite;5801928d-e6bd-4401-8dbd-9ff90110e44d;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 3.18E+12, W-Europe 1995: 1.14E+14, World 1995: 5.12E+14, World 1990: 7.55E+14 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;marine sediment ecotoxicity;409a2d95-e67c-4367-8c46-9ff90110e9fd;MSETP 100a;0166ff7d-e253-497e-89aa-9ff90110e9fe;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 1.37E+10, W-Europe 1995: 5.90E+11, World 1995: 2.40E+12, World 1990: 3.56E+12 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;marine sediment ecotoxicity;d2bd1f28-3b0f-44a6-b9d3-9ff90110e58e;MSETP 20a;95584794-7500-4301-943b-9ff90110e58e;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 4.54E+9, W-Europe 1995: 2.17E+11, World 1995: 8.91E+11, World 1990: 1.14E+12 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;marine sediment ecotoxicity;f759e65b-58a3-4596-813a-9ff90110e7d9;MSETP 500a;b32c1de4-bb6f-4ba1-a2a9-9ff90110e7da;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 6.01E+10, W-Europe 1995: 2.38E+12, World 1995: 1.00E+13, World 1990: 1.57E+13 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;marine sediment ecotoxicity;156a969e-e49e-47ca-ba66-9ff90110eaef;MSETP infinite;17942590-8fd8-4ded-a798-9ff90110eaef;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 2.99E+12, W-Europe 1995: 1.04E+14, World 1995: 4.69E+14, World 1990: 6.79E+14 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;terrestrial ecotoxicity;70a451eb-8cbd-4211-808d-9ff90110e8b6;TAETP 100a;2d0f44c6-daec-48cf-9cfe-9ff90110e8b6;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 1.72E+8, W-Europe 1995: 2.03E+10, World 1995: 1.40E+11, World 1990: 1.48E+11 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;terrestrial ecotoxicity;a77286b2-4e51-4520-b421-9ff90110e4f2;TAETP 20a;26b7cf81-28f6-4e3e-8061-9ff90110e4f2;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 1.50E+8, W-Europe 1995: 1.92E+10, World 1995: 1.35E+11, World 1990: 1.41E+11 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;terrestrial ecotoxicity;1fe38e9e-4c11-48d3-97d1-9ff90110e6ad;TAETP 500a;cc03dc2d-32e8-4b94-b4ba-9ff90110e6ae;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 2.61E+8, W-Europe 1995: 2.44E+10, World 1995: 1.61E+11, World 1990: 1.78E+11 [kg 1,4-dichlorobenzene eq. / yr]
CML 2001;ee0e08bc-26f5-4491-a700-9ff90110e44c;terrestrial ecotoxicity;8d7961e6-7a85-4ec3-a318-9ff90110e95e;TAETP infinite;bd742bdc-63c0-42d9-b4d4-9ff90110e95e;kg 1,4-DCB-Eq;Implementation of the impact assessment method with the characterisation factors. Long-term emissions are considered the same as short-term emissions. Normalisation factors: The Netherlands 1997: 9.20E+8, W-Europe 1995: 4.73E+10, World 1995: 2.69E+11, World 1990: 2.64E+11 [kg 1,4-dichlorobenzene eq. / yr]
