ID,description,formula,particle_size,degradability,organic,measured_as,i_C,i_N,i_P,i_K,i_mass,i_charge,f_COD_Vmass,f_BOD5_COD,f_uBOD_COD,f_Vmass_Totmass,CAS,PubChem
SH2,Dissolved dihydrogen gas,H2,Dissolved gas,Chemical,TRUE,COD,0,0,0,0,0.125,0,8,0,0,1,1333-74-0,783
SCH4,Dissolved Methane,CH4,Dissolved gas,Chemical,TRUE,COD,0.186997444,0,0,0,0.25,0,4,0,0,1,74-82-8,297
SCH3OH,Methanol,CH3OH,Soluble,Biological,TRUE,COD,0.249672305,0,0,0,0.666666667,0,1.5,0.716666667,0.862698413,1,67-56-1,887
SAc,Acetate,CH3COO(-),Soluble,Biological,TRUE,COD,0.375,0,0,0,0.9225,-0.015625,1.08401084,0.716666667,0.862698413,1,71-50-1,175
SProp,Propionate,C2H5COO-,Soluble,Biological,TRUE,COD,0.321428571,0,0,0,0.652410714,-0.008928571,1.532776789,0.716666667,0.862698413,1,72-03-7,104745
SF,Fermentable soluble organic matters,,Soluble,Biological,TRUE,COD,0.318986047,0.03,0.01,0,0.502512563,0,1.99,0.716666667,0.862698413,1,,
SU_Inf,Undegradable soluble compound originating from the influent,,Soluble,Undegradable,TRUE,COD,0.319681395,0.01,0,0,0.5,0,,0,0,1,,
SU_E,Endogenous undegradable soluble product,,Soluble,Undegradable,TRUE,COD,0.319681395,0.01,0,0,0.5,0,,0,0,1,,
CB_Subst,"Biodegradable colloidal substrate, assumed to be extracellular polymeric substances",(C25H42O14N4)n,Colloidal,Biological,TRUE,COD,0.320855615,0.071428571,0,0,0.793367347,0,1.260450161,0.716666667,0.862698413,1,,
CB_BAP,"Biomass-associated colloidal products, associated with biomass decay, assumed to be the hydrolysis products of extracellular polymeric substance",(C25H42O14N4)n,Colloidal,Biological,TRUE,COD,0.320855615,0.071428571,0,0,0.793367347,0,1.260450161,0.716666667,0.862698413,1,,
CB_UAP,"Utilization-associated colloidal products, associated with substrate metabolism and biomass growth, assumed to be",(C25H42O14N4)n,Colloidal,Biological,TRUE,COD,0.320855615,0.071428571,0,0,0.793367347,0,1.260450161,0.716666667,0.862698413,1,,
CU_Inf,Undegradable colloidal compound originating from the influent,,Colloidal,Undegradable,TRUE,COD,0.32,0.02,0.01,0,0.75,0,,0,0,1,,
XB_Subst,Biodegradable particulate substrate,,Particulate,Biological,TRUE,COD,0.31995622,0.04,0.01,0,0.75,0,1.8,0.579876434,0.862753751,0.740740741,,
XOHO_PHA,Poly-β-hydroxyalkanoates in ordinary heterotrophic organisms,(C4H6O2)n,Particulate,Biological,TRUE,COD,0.333333333,0,0,0,0.597222222,0,1.674418605,0.579876434,0.862753751,1,,
XGAO_PHA,Poly-β-hydroxyalkanoates in glycogen accumulating organisms,(C4H6O2)n,Particulate,Biological,TRUE,COD,0.333333333,0,0,0,0.597222222,0,1.674418605,0.579876434,0.862753751,1,,
XPAO_PHA,Poly-β-hydroxyalkanoates in phosphorus accumulating organisms,(C4H6O2)n,Particulate,Biological,TRUE,COD,0.333333333,0,0,0,0.597222222,0,1.674418605,0.579876434,0.862753751,1,,
XGAO_Gly,Glycogen in glycogen-accumulating organisms,(C6H10O5)n,Particulate,Biological,TRUE,COD,0.375,0,0,0,0.84375,0,1.185185185,0.579876434,0.862753751,1,,
XPAO_Gly,Glycogen in phosphorus-accumulating organisms,(C6H10O5)n,Particulate,Biological,TRUE,COD,0.375,0,0,0,0.84375,0,1.185185185,0.579876434,0.862753751,1,,
XOHO,Ordinary heterotrophic organisms,C5H7O2N,Particulate,Biological,TRUE,COD,0.373924966,0.087249159,0.02,0,0.833333333,0,1.42,0.566639299,0.792802603,0.845070423,,
XAOO,Ammonia oxidizing organisms,C5H7O2N,Particulate,Biological,TRUE,COD,0.373924966,0.087249159,0.02,0,0.833333333,0,1.42,0.566639299,0.792802603,0.845070423,,
XNOO,Nitrite oxidizing organisms,C5H7O2N,Particulate,Biological,TRUE,COD,0.373924966,0.087249159,0.02,0,0.833333333,0,1.42,0.566639299,0.792802603,0.845070423,,
XAMO,Anaerobic ammonia oxidizing organisms,C5H7O2N,Particulate,Biological,TRUE,COD,0.373924966,0.087249159,0.02,0,0.833333333,0,1.42,0.566639299,0.792802603,0.845070423,,
XPAO,Phosphorus accumulating organisms,C5H7O2N,Particulate,Biological,TRUE,COD,0.373924966,0.087249159,0.02,0,0.833333333,0,1.42,0.566639299,0.792802603,0.845070423,,
XMEOLO,Methylotrophic organisms,C5H7O2N,Particulate,Biological,TRUE,COD,0.373924966,0.087249159,0.02,0,0.833333333,0,1.42,0.566639299,0.792802603,0.845070423,,
XACO,Acetoclastic methanogenic organisms,C5H7O2N,Particulate,Biological,TRUE,COD,0.373924966,0.087249159,0.02,0,0.833333333,0,1.42,0.566639299,0.792802603,0.845070423,,
XHMO,Hydrogenotrophic methanogenic organisms,C5H7O2N,Particulate,Biological,TRUE,COD,0.373924966,0.087249159,0.02,0,0.833333333,0,1.42,0.566639299,0.792802603,0.845070423,,
XPRO,Propionic acetogenic organisms,C5H7O2N,Particulate,Biological,TRUE,COD,0.373924966,0.087249159,0.02,0,0.833333333,0,1.42,0.566639299,0.792802603,0.845070423,,
XU_Inf,Undegradable particulate compound originating from the influent,,Particulate,Undegradable,TRUE,COD,0.32,0.02,0.01,0,0.75,0,1.333333333,0,0,1,,
XU_OHO_E,Undegradable particulate cell product endogenous from ordinary heterotrophic organisms,,Particulate,Undegradable,TRUE,COD,0.366697674,0.02,0.01,0,0.75,0,1.535714286,0,0,0.868217054,,
XU_PAO_E,Undegradable particulate cell product endogenous from phosphorus accumulating organisms,,Particulate,Undegradable,TRUE,COD,0.366697674,0.02,0.01,0,0.75,0,1.535714286,0,0,0.868217054,,
XIg_ISS,"Inorganic inert suspended solids, assumed to be MgCO3",,Particulate,Undegradable,FALSE,,0.14233187,0,0,0,1,0,0,0,0,0,546-93-0,11029
XMAP,"Struvite, magnesium ammonium phosphate hexahydrate",MgNH4PO4·6H2O,Particulate,Undegradable,FALSE,,0,0.05704739,0.126319221,0,1,0,0,0,0,0,15490-91-2,10220511
XHAP,Hydroxyapatite,Ca5(PO4)3(OH),Particulate,Undegradable,FALSE,,0,0,0.185,0,1,0,0,0,0,0,1306-06-5,14781
XMeP,Metal phosphate compound,FePO4,Particulate,Undegradable,FALSE,,0,0,0.205543031,0,1,0,0,0,0,0,10045-86-0,24861
XHDP,Hydroxy dicalcium phosphate,CaHPO4·2H2O,Particulate,Undegradable,FALSE,,0,0,0.1801383,0,1,0,0,0,0,0,7789-77-7,104805
XMeOH,Metal hydroxide precipitate,Fe(OH)3,Particulate,Undegradable,FALSE,,0,0,0,0,1,0,0,0,0,0,1309-33-7,445709
XPAO_PP_Lo,Low molecular weight poly-phosphate in phosphorus accumulating organisms,(K0.33Mg0.33PO3)n,Particulate,Undegradable,FALSE,P,0,0,1,0.419354839,3.230143011,0,0,0,0,0,,
XPAO_PP_Hi,High molecular weight poly-phosphate in phosphorus accumulating organisms,(K0.33Mg0.33PO3)n,Particulate,Undegradable,FALSE,P,0,0,1,0.419354839,3.230143011,0,0,0,0,0,,
SNH4,Ammonium,NH4+,Soluble,Undegradable,FALSE,N,0,1,0,0,1.2885,0.071428571,0,0,0,0,14798-03-9,223
SNO2,Nitrite,NO2-,Soluble,Undegradable,FALSE,N,0,1,0,0,3.286142857,-0.071428571,0,0,0,0,14797-65-0,946
SNO3,Nitrate,NO3-,Soluble,Undegradable,FALSE,N,0,1,0,0,4.428928571,-0.071428571,0,0,0,0,14797-55-8,943
SPO4,Orthophosphate,PO4(3-),Soluble,Undegradable,FALSE,P,0,0,1,0,3.063580645,-0.096774194,0,0,0,0,14265-44-2,1061
SK,Potassium,K+,Soluble,Undegradable,FALSE,,0,0,0,1,1,0.025641026,0,0,0,0,24203-36-9,813
SCa,Calcium,Ca+2,Soluble,Undegradable,FALSE,,0,0,0,0,1,0.05,0,0,0,0,14127-61-8,271
SMg,Magnesium ,Mg+2,Soluble,Undegradable,FALSE,,0,0,0,0,1,0.082287595,0,0,0,0,22537-22-0,888
SN2,Dissolved dinitrogen gas,N2,Dissolved gas,Undegradable,FALSE,,0,0,0,0,1,0,0,0,0,0,7727-37-9,947
SO2,Oxygen,O2,Dissolved gas,Undegradable,FALSE,,0,0,0,0,1,0,0,0,0,0,7782-44-7,977
SCAT,other cations,,Soluble,Undegradable,FALSE,,0,0,0,0,0,1,0,0,0,0,,
SAN,other anions,,Soluble,Undegradable,FALSE,,0,0,0,0,0,-1,0,0,0,0,,
